[2026-03-26 09:09:43] started watcher
[2026-03-26 09:09:43] status check: state='Printing', status='Online', timeLeft='6h 21m'
[2026-03-26 09:10:56] started dual-watcher
[2026-03-26 09:10:56] initial printers: ['kermit', 'fozzie'], printing_now: {'fozzie'}
[2026-03-26 09:10:56] check kermit: state='Idle', status='Idle', timeLeft='—'
[2026-03-26 09:10:56] check fozzie: state='Printing', status='Online', timeLeft='6h 32m'
[2026-03-26 09:15:56] check kermit: state='Idle', status='Idle', timeLeft='—'
[2026-03-26 09:15:56] check fozzie: state='Printing', status='Online', timeLeft='6h 24m'
[2026-03-26 09:20:56] check kermit: state='Idle', status='Idle', timeLeft='—'
[2026-03-26 09:20:56] check fozzie: state='Printing', status='Online', timeLeft='6h 1m'
[2026-03-26 09:25:56] check kermit: state='Idle', status='Idle', timeLeft='—'
[2026-03-26 09:25:56] check fozzie: state='Printing', status='Online', timeLeft='5h 54m'
[2026-03-26 09:30:56] check kermit: state='Idle', status='Idle', timeLeft='—'
[2026-03-26 09:30:56] check fozzie: state='Printing', status='Online', timeLeft='5h 57m'
[2026-03-26 09:35:56] check kermit: state='Idle', status='Idle', timeLeft='—'
[2026-03-26 09:35:56] check fozzie: state='Printing', status='Online', timeLeft='5h 50m'
[2026-04-10 23:06:53] started dual-watcher
[2026-04-10 23:06:53] initial printers: ['kermit', 'fozzie'], printing_now: set()
[2026-04-10 23:06:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:06:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:11:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:11:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:16:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:16:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:21:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:21:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:26:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:26:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:31:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:31:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:36:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:36:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:41:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:41:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:46:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:46:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:51:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:51:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:56:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-10 23:56:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:01:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:01:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:06:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:06:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:11:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:11:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:16:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:16:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:21:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:21:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:26:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:26:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:31:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:31:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:36:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:36:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:41:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:41:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:46:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:46:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:51:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:51:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:56:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 00:56:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:01:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:01:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:06:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:06:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:11:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:11:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:16:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:16:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:21:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:21:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:26:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:26:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:31:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:31:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:36:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:36:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:41:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:41:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:46:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:46:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:51:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:51:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:56:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 01:56:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:01:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:01:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:06:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:06:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:11:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:11:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:16:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:16:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:21:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:21:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:26:53] check kermit: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:26:53] check fozzie: state='Complete', status='Online', timeLeft='—'
[2026-04-11 02:31:53] check kermit: state='Complete', status='Online', timeLeft='—'
